"COMBINED_TRACT","COMBINED_BLOCK","pop18_44","pop45_64","pop65plus","pop_total","PSU_prob","SSU_prob","pp_1844","pp_4564","pp_65up","overall_1844","overall_4564","overall_65up","weight_1844","weight_4564","weight_65up","n_1844","n_4564","n_65up","n_total","rounded_n_1844","rounded_n_4564","rounded_n_65up","rounded_n_total"
"24033800109","240338001091",667,414,198,1279,0.10580866203553,0.445903963912231,0.0224000976016511,0.0288339480174566,0.0494371065006987,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,14.9408651003013,11.937254479227,9.78854708713834,36.6666666666667,15,12,10,37
"24033800213","240338002131",1107,737,253,2097,0.139709854954225,0.539298145488376,0.0140267319523225,0.0180555490052085,0.030957054460897,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,15.527592271221,13.3069396168387,7.83213477860694,36.6666666666667,16,13,8,37
"24033800408","240338004082",676,661,409,1746,0.22308634291998,0.313897969871846,0.0150921452192099,0.0194269747597228,0.0333084258736039,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,10.2022901681859,12.8412303161768,13.623146182304,36.6666666666667,10,13,14,37
"24033800504","240338005042",450,374,286,1110,0.153501594061713,0.293415410410754,0.0234647891994796,0.0302044448220842,0.0517868851868579,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,10.5591551397658,11.2964623634595,14.8110491634414,36.6666666666667,11,11,15,37
"24033800515","240338005152",916,778,494,2188,0.132891505308772,0.652350926270715,0.0121908492868169,0.0156923563850372,0.0269052539521931,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,11.1668179467243,12.208653267559,13.2911954523834,36.6666666666667,11,12,13,36
"24033800522","240338005222",716,845,258,1819,0.115582003388694,0.591791828107512,0.0154508823198104,0.0198887498418942,0.0341001601134955,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,11.0628317409843,16.8059936164006,8.79784130928184,36.6666666666667,11,17,9,37
"24033800701","240338007013",1743,1222,440,3405,0.256030083281255,0.48262586259622,0.00855285044645398,0.0110094361890618,0.0188761757169633,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,14.9076183281693,13.4535310230335,8.30551731546383,36.6666666666667,15,13,8,36
"24033801003","240338010031",1734,1268,358,3360,0.16786448574086,0.713657623775158,0.008821932541206,0.0113558051768441,0.0194700409943496,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,15.2972310264512,14.3991609642383,6.97027467597717,36.6666666666667,15,14,7,36
"24033801208","240338012082",828,876,367,2071,0.135460087734949,0.588458359997358,0.013258224750128,0.0170663079262998,0.0292609559403869,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.73051948052,10.977810093106,14.9500857434387,10.738770830122,36.6666666666667,11,15,11,37
"24033801216","240338012162",830,723,515,2068,0.12261144245255,0.681081421674273,0.0126555909966256,0.0162905831669232,0.0279309407956931,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,10.5041405271993,11.7780916296855,14.3844345097819,36.6666666666667,11,12,14,37
"24033801310","240338013102",299,402,155,856,0.216814027849853,0.154016890683845,0.0316487627903495,0.0407390537908409,0.0698489481834458,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.73051948052,9.4629800743145,16.3770996239181,10.8265869684341,36.6666666666667,9,16,11,36
"24033801406","240338014061",347,264,334,945,0.100690448412034,0.407617244461944,0.0257496685230602,0.0331455968123071,0.0568296231458554,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,8.93513497750188,8.75043755844907,18.9810941307157,36.6666666666667,9,9,19,37
"24033801701","240338017012",618,493,355,1466,0.125888714662142,0.466176929339063,0.0180083901139108,0.0231808358006578,0.039744590215621,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,11.1291850903969,11.4281520497243,14.1093295265455,36.6666666666667,11,11,14,36
"24033801808","240338018081",381,268,155,804,0.111184137372676,0.276881892580475,0.0343301009628005,0.0441905372109835,0.0757666724341685,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,13.079768466827,11.8430639725436,11.7438342272961,36.6666666666667,13,12,12,37
"24033801907","240338018011",840,482,221,1543,0.184656207672117,0.304094403060763,0.0188208887419097,0.024226703708048,0.0415377779917801,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,15.8095465432041,11.6772711872791,9.1798489361834,36.6666666666667,16,12,9,37
"24033802204","240338022042",400,340,269,1009,0.195822575688501,0.210678969114059,0.0256170150363536,0.0329748420322141,0.0565368563612358,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.73051948052,10.2468060145414,11.2114462909528,15.2084143611724,36.6666666666667,10,11,15,36
"24033802502","240338025022",486,363,214,1063,0.0701585832487848,0.585660737721833,0.025720863565476,0.0331085183734362,0.056766050487327,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,12.5003396928214,12.0183921695573,12.147934804288,36.6666666666667,13,12,12,37
"24033803002","240338030021",576,455,227,1258,0.0827549156537962,0.579102059178729,0.0220527907607981,0.0283868862423988,0.048670598890553,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,12.7024074782197,12.9160332402914,11.0482259481555,36.6666666666667,13,13,11,37
"24033803512","240338035121",1120,953,463,2536,0.326857573171331,0.297048761438028,0.0108849432382657,0.0140113624987949,0.0240231139923488,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,12.1911364268576,13.3528284613515,11.1227017784575,36.6666666666667,12,13,11,36
"24033803521","240338035212",707,782,862,2351,0.238073971156707,0.437787308599797,0.0101399866441929,0.0130524363329029,0.0223789917597357,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,7.16897055744438,10.2070052123301,19.2906908968922,36.6666666666667,7,10,19,36
"24033803602","240338036022",377,208,176,761,0.0618778238772466,0.481260303832149,0.0354892967497605,0.0456826820961377,0.0783250222500586,0.00105684784561567,0.00136040013685462,0.00233246749312755,946.21,735.077844311377,428.730519480519,13.3794648746597,9.50199787599665,13.7852039160103,36.6666666666667,13,10,14,37
